created_at,verified,favorite_count,retweet_count,twitter_engagement,clean_text,topic,topic_revised,topic_final
2020-02-08T20:25:51Z,FALSE,10527,6321,16848,Here's what isn't being said about #coronavirus: for 15 years the United States ran a research program called PREDICT to identify stop pandemics. It was shut down in October.,situation_update,misinformation,misinformation
2020-02-02T11:08:34Z,TRUE,12799,3053,15852,"#WATCH Indian students who were brought back from Wuhan, China, dance at the quarantine facility of Indian Army in Manesar, Haryana, where they are currently lodged. #Coronavirus (Source - Indian Army)",public_reaction,,public_reaction
2020-01-31T12:18:25Z,TRUE,8721,6603,15324,"Walking around without a protective face mask? Well, you can't avoid these sharp-tongued drones! Many village and cities in China are using drones equipped with speakers to patrol during the #coronavirus outbreak.",situation_update,,situation_update
2020-01-25T04:37:07Z,FALSE,8154,6987,15141,Wearing a face mask does help if you do it properly. Seto Wing Hong of Hong Kong University demonstrates the correct way to wear a face mask #coronavirus,health_information,,health_information
2020-01-25T21:13:05Z,FALSE,7584,7280,14864,New video from the quarantine zone in China. Medical personal checking #coronavirus patients. Therere multiple reports from the ground of people dying in their homes. The gunshots you hear in the background is to stop those who want to escape from off-road terrain.,situation_update,,situation_update
2020-02-12T08:35:47Z,TRUE,9705,3598,13303,We spoke to some British children of Chinese heritage to hear about how they're having to deal with bullying over #coronavirus,individual_story,public_reaction,public_reaction
2020-02-10T04:13:13Z,TRUE,12745,317,13062,"Sad, but I guess this is the situation now. Stay safe guys. #Coronavirus #StaySafe",unclassifiable,,unclassifiable
2020-01-27T11:01:37Z,TRUE,9123,3835,12958,"EXCLUSIVE: San Lazaro Hospital confirms three Chinese were brought to the hospital after showing signs of flu. 2 of the 3 Chinese have had a history of travel from Wuhan, China. #coronavirus #nCoV | via @raphbosano",situation_update,,situation_update
2020-01-25T02:25:01Z,FALSE,9090,3415,12505,#CoronaVirus (The Virus) Infection Update USA #56 (+2) UK #13 (+4) China #1 (+900),situation_update,,situation_update
2020-01-29T18:20:11Z,FALSE,6974,5453,12427,Found this somewhere. Credit to the owner. #coronavirus,unclassifiable,,unclassifiable
2020-02-02T05:12:22Z,FALSE,8973,3161,12134,"Meanwhile evacuated Indians in a #Coronavirus isolation camp in Manesar, Haryana (via @dhananjaypro)",situation_update,,situation_update
2020-01-31T21:04:50Z,TRUE,9795,2245,12040,"President @realDonaldTrump is taking measured and decisive action to protect the American people against #coronavirus. The current risk to the American public is low. As the Task Force recommended, we are pausing travel activities to keep it that way.",situation_update,,situation_update
2020-02-12T19:22:55Z,TRUE,8519,3505,12024,"If the mortality factor of the #CoronaVirus were as virulent as the contagion factor seems to be, we would be looking at an extinction level event.",personal_opinion,,personal_opinion
2020-01-25T23:28:03Z,FALSE,9537,2458,11995,"BREAKING: PM Scott Morrison has announced there's no need for Australia to take action against the #coronavirus. He said ""We make up only 0.3% of the world's population. Even if we're all wiped out by the virus it will make no appreciable impact on the world's population"" #auspol",misinformation,situation_update,situation_update
2020-01-25T12:03:03Z,TRUE,3667,7314,10981,Do you know #coronavirus #2019_nCov is a new virus with no available vaccine or medicine? Here are simple ways to prevent infection or transmitting it. Self-hygiene especially washing your hands is the most important step. #CoronavirusOutbreak #coronavirus,health_information,,health_information
2020-01-27T17:46:48Z,TRUE,5491,4879,10370,"OMG. The top WH official responsible for preparedness response to a deadly #pandemic quit, and the global health security team he oversaw was DISBANDED by then-NSA John Bolton in *May 2018*. @thespybrief h/t @911CORLEBRA777 #coronavirus #2019_nCov",health_information,,health_information
2020-01-27T14:22:32Z,TRUE,5194,4869,10063,"Q: Are antibiotics effective in preventing and treating the new #coronavirus (2019-nCoV)? A: No, antibiotics do not work against viruses, only bacteria. The 2019-nC0V is a virus and, therefore, antibiotics should not be used as a means of prevention or treatment.",situation_update,health_information,health_information
2020-01-25T09:01:17Z,FALSE,4910,5026,9936,One of the ways to prevent #CoronaVirus is to use Face Mask. #FaceMask can only be useful to combat #CoronaVirusOutbreak if you know how to use it right. Please learn from this video from World Health Organisation WHO. #coronoavirus,humor,health_information,health_information
2020-02-10T16:15:00Z,TRUE,6085,3836,9921,"Full-front disinfection work has started in #Wuhan, an effort to contain the spread of #coronavirus",individual_story,situation_update,situation_update
2020-02-12T10:37:08Z,TRUE,9162,449,9611,Cuppy 1 - #CoronaVirus 0,situation_update,unclassifiable,unclassifiable
2020-02-06T18:04:44Z,FALSE,5278,4069,9347,A Chinese couple is being detained and transported to unknown destination inside a large metal container by the medical workers in pink hazmat suits. #coronavirus,situation_update,individual_story,individual_story
2020-01-25T23:27:40Z,TRUE,4393,4946,9339,WHOs risk assessment of the new #coronavirus (2019-nCoV) situation has not changed: very high in #China high at the regional level moderate at the global level WHOs situation report 25 January 2020,misinformation,situation_update,situation_update
2020-01-27T16:12:23Z,TRUE,7382,1868,9250,"We are racing against time. The 1st building of #Wuhan's #Coronavirus hospital, Huoshenshan hospital, was completed in 16 hours. China Construction which built the hospital is the same company which built the Multan-Sukkor Motorway and the Centaurus. Lets pray for Wuhan China!",public_reaction,,public_reaction
2020-01-29T06:10:08Z,TRUE,7187,1832,9019,"Ajay Alok, JDU on Prashant Kishor: This man is not trustworthy.He could not win the trust of Modi ji and Nitish ji. He works for AAP, talks to Rahul Gandhi, sits with Mamata didi. Who will trust him? We are happy this #coronavirus is leaving us, he can go wherever he wants to.",individual_story,,individual_story
2020-01-31T16:55:42Z,TRUE,5155,3366,8521,"It's understandable to be alarmed by #Coronavirus. But no amount of fear can excuse prejudice discrimination against people of Asian descent. Let's #FightRacism, call out hatred support each other in this time of a public health emergency. #StandUp4HumanRights",personal_opinion,,personal_opinion
2020-01-29T00:58:01Z,FALSE,6805,1591,8396,"For the people who want to know what it's like to be in an empty mall in #China during the #CoronaVirus outbreak... It's very weird. #Shanghai has become a #GhostTown! FYI, it's the Super Brand Mall. #ChinaCoronaVirus #CoronaOutbreak",situation_update,,situation_update
2020-02-08T12:10:53Z,TRUE,5405,2862,8267,#Coronavirus Think about this zombie apocalypse we are living through - and remember why freedom of speech information matters. We do not have freedom to speak in the U.K. Self-censorship is how most make it through the day.,personal_opinion,,personal_opinion
2020-01-27T17:12:13Z,TRUE,6274,1974,8248,"Reports confirm the spread of #Coronavirus is far worse than originally predicted. In light of this, the United States should consider implementing a temporary travel ban on travelers from China until the threat is resolved.",personal_opinion,,personal_opinion
2020-01-31T20:26:52Z,FALSE,6122,2072,8194,Our face masks are from???? You can't make this up. #coronavirus,personal_opinion,,personal_opinion
2020-02-10T10:17:37Z,TRUE,6872,1254,8126,"Over the past weeks, our armed forces have been working on the front lines to prevent the spread of #coronavirus. From helping manufacture face masks to disinfecting ships aircraft, our men women in uniform are working around the clock to keep #Taiwan safe.",public_reaction,,public_reaction
2020-01-29T05:59:52Z,TRUE,7734,250,7984,Safe is the new COOL with @DanielWeber99 !! Dont be ignorant about what is happening around you or think the Coronavirus cant affect you! Be smart and be safe! #BeSafe #India #coronavirus,health_information,personal_opinion,personal_opinion
2020-01-27T14:12:45Z,TRUE,4981,2744,7725,"Heartwarming: Residents chant ""Wuhan, Jiayou"" for their city to hold on despite adversity. #coronavirus #pneumonia",public_reaction,,public_reaction
2020-02-02T07:27:50Z,TRUE,6206,1519,7725,"#Coronavirus is dancing on Haryanvi tunes Happy to see spirited Indian students who were evacuated from China and kept in a Corona Virus isolation camp in Manesar, Haryana created by Indian Army. @adgpi",public_reaction,,public_reaction
2020-01-29T02:18:36Z,TRUE,6635,1077,7712,Japan to help Philippines test suspected #coronavirus cases: health chief,situation_update,,situation_update
2020-02-04T19:15:36Z,TRUE,5610,2067,7677,Proud of our rapid facilitation of the delivery of donated life-saving personal protection equipment and medical and humanitarian relief supplies to the people affected by the #coronavirus in #China. Grateful to the generous U.S. organizations donating to the relief efforts.,situation_update,personal_opinion,personal_opinion
2020-02-06T15:36:54Z,FALSE,7163,480,7643,"""The response of health workers to the #nCoV outbreak is being undermined by rumour-mongering."" Our host @JamesChau writes on @The_Hindu. It's a time for solidarity, not stigma. #coronavirus @WHO @DrTedros",situation_update,personal_opinion,personal_opinion
2020-02-10T16:39:09Z,TRUE,5028,2579,7607,#coronavirus shows how open borders is a risk to the public health.,personal_opinion,,personal_opinion
2020-01-29T15:34:28Z,TRUE,4471,3080,7551,I have decided to reconvene the International Health Regulations Emergency Committee on the new #coronavirus (2019-nCoV) tomorrow to advise me on whether the current outbreak constitutes a public health emergency of international concern.,personal_opinion,,personal_opinion
2020-02-02T02:49:21Z,FALSE,5729,1609,7338,"The silver lining here is 24 PUIs were negative. We have two confirmed cases, one recovering, one dead. Both Chinese. No Filipinos confirmed infected yet. Please pray for our healthcare workers who are in harm's way and on the frontline. #nCoV2019 #coronavirus #Philippines",situation_update,,situation_update
2020-02-02T02:55:49Z,FALSE,5003,2224,7227,"BREAKING: Philippines becomes the FIRST country, aside from China, with a confirmed death due to the novel #coronavirus (2019-nCoV ARD). The first and second case patients were actually companions.",situation_update,,situation_update
2020-02-08T01:36:54Z,TRUE,5497,1579,7076,I know everyone is nervous about #coronavirus but I think this woman on my flight from Hong Kong to Melbourne was taking it a little far,individual_story,,individual_story
2020-02-12T01:09:20Z,TRUE,2435,4614,7049,"A Chinese girl killed two other customers, including a 12-years girl in a fight for a bottle of antiseptic little in a supermarket in China over #coronavirus pressure. Now she is under arrest.",individual_story,,individual_story
2020-01-25T01:19:22Z,TRUE,2469,4528,6997,What you need to know about #coronavirus and signs symptoms. Wash your hands! #CoronavirusOutbreak #WuhanOutbreak,health_information,,health_information
2020-02-02T09:04:31Z,FALSE,3863,3008,6871,A relative of mine from China just sent me this. Rows of police surrounds her residential block where a positive #coronavirus case was found. It was someone who returned from #wuhan. Now their entire family has been taken away. The whole block is now sealed off until 16th Feb.,individual_story,,individual_story
2020-01-31T20:48:38Z,FALSE,4070,2782,6852,"India just announced that the #coronavirus had at least 4 protein inserts from HIV, which is a sign of engineering, leading them to believe this was an engineered bioweapon. The original link was pulled almost immediately.",misinformation,,misinformation
2020-02-10T14:56:28Z,TRUE,5917,935,6852,"We stand with #China: My #SandArt with the message, Fight against #CORONAVIRUS at Puri beach, #Odisha. @China_Amb_India",public_reaction,,public_reaction
2020-01-25T17:47:17Z,FALSE,2691,4148,6839,"BREAKING Malaysia confirms 4th case of #coronavirus. The first 3 cases are from the same family, while this 4th case is independent from that. All four patients are residents of #wuhan #china, and entered Malaysia via Singapore, in Johor Bahru. #2019nCoV",situation_update,,situation_update
2020-01-25T23:23:22Z,FALSE,2755,4065,6820,"Update of confirmed #coronavirus cases worldwide: -China (HK, Macao, Taiwan): 1,142 54 deaths -Japan: 3 -South Korea: 2 -France: 3 - Australia: 4 -Canada: 1 -U.S. : 2 -Russia: 7 -Nepal: 1 -Vietnam: 2 -Malaysia: 4 -Singapore: 4 -Thailand: 5",situation_update,,situation_update
2020-02-02T09:03:32Z,TRUE,5342,1393,6735,"Chinese speed. #Wuhan's first 1000-bed #Coronavirus hospital, or #Huoshenshan hospital, is close to completion. It will be handed over after one day of medical equipment installation. #Huoshenshan literally means the mountain for god of fire.",situation_update,,situation_update
2020-01-29T16:57:55Z,TRUE,3503,3176,6679,Just published: Two new studies on the novel coronavirus. All Lancet #coronavirus content is fully and freely available at our 2019-nCoV Resource Centre,health_information,,health_information
2020-01-25T09:18:39Z,FALSE,3134,3510,6644,"Some folks think Im trying to incite fear. Im not tryingIm a scientist. This #coronavirus #WuhanCoronovirus is serious. Over 50 million people are quarantined + case counts will go up much more. Predict @WHO will declare emergency. Lets hope for the best, prepared for worst.",personal_opinion,,personal_opinion
2020-01-29T19:05:43Z,FALSE,3857,2644,6501,"Imagine being a Wuhan citizenthey can't get any medical treatments, they can't even get a diagnosis. They can only sit and wait to die. A #Wuhan citizen speaks out about the #Coronavirus, and says the symptoms of the virus do not match what authorities are saying.",individual_story,,individual_story
2020-02-02T06:02:16Z,FALSE,5686,801,6487,LOOK: DDS page expresses disgust over Duterte's inaction of the current health situation. The weather is changing. #OustDuterte #OustDuterte2020 #coronavirus,public_reaction,,public_reaction
2020-01-31T15:12:16Z,FALSE,3681,2752,6433,A graph is worth a thousand letters. #coronavirus. Source: NYTimes,situation_update,,situation_update
2020-01-27T03:58:24Z,TRUE,4335,2071,6406,The Department of Health reveals two patients in Metro Manila are under investigation for suspected novel #coronavirus | via @pia_gutierrez,situation_update,,situation_update
2020-02-12T18:44:49Z,TRUE,4747,1633,6380,"If we look beyond the minor grammatical errors in his post below, Schone posits the realities pretty succinctly. My personal physician put it even more simply and powerfully: The world is all about things eating other things to survive and propagate. #Wuhan #CoronaVirus",situation_update,personal_opinion,personal_opinion
2020-01-25T13:09:59Z,FALSE,3139,3138,6277,New leak from what's happening in China #coronavirus #Wuhan,situation_update,,situation_update
2020-02-04T19:59:07Z,TRUE,5147,1065,6212,"A Japanese cruise liner with more than 3,000 people on board was in quarantine Tuesday after a passenger, who had already left the boat, tested positive for the #coronavirus",situation_update,,situation_update
2020-02-12T18:42:49Z,TRUE,3616,2520,6136,"#China Communist Party has put #HongKong and now the entire world at risk because of the #coronavirus, very much including the United States. Beijings continued misdirection misinformation about the scope of the problem is helping fuel a global health crisis",misinformation,personal_opinion,personal_opinion
2020-01-29T16:01:18Z,TRUE,3158,2952,6110,Live from Geneva on the new #coronavirus outbreak,public_reaction,,public_reaction
2020-02-08T20:45:21Z,TRUE,3875,2225,6100,#china communist party tries distancing itself from #coronavirus. Wont work. They own this - now a global health crisis. CCP fundamentally corrupt. Another reminder USA needs to decouple its key supply chains from China,situation_update,personal_opinion,personal_opinion
2020-01-31T14:09:31Z,TRUE,5310,785,6095,"Called Chinese State Councilor and Foreign Minister Wang Yi today to thank him for the cooperation extended by the Chinese government for the departure of Indian students and professionals from Wuhan. As China deals with the #coronavirus challenge, we agreed to stay in touch.",situation_update,,situation_update
2020-02-02T05:10:17Z,TRUE,4229,1851,6080,"#BREAKING Construction work of Huoshenshan Hospital, #Wuhan's makeshift hospital built for treating pneumonia patients infected with the novel #coronavirus completed Sunday morning; the hospital will officially start services from Monday",situation_update,,situation_update
2020-01-29T07:21:35Z,TRUE,5036,974,6010,"@AFPTV @LeoRamirezAFP Papua New Guinea has shut air and seaports to all foreign travellers coming from Asia, in a desperate bid to prevent the deadly #coronavirus from reaching the nation",public_reaction,situation_update,situation_update
2020-01-25T18:50:37Z,FALSE,3266,2681,5947,"@DarrenPlymouth This is just the 1st wave of the #Coronavirus, the 2nd wave of the #pandemic begins when the #Coronavirus #vaccine is being administered and we will learn the vaccine will contain a live virus in the coronavirus vaccine and it will it will set off a firestorm of the 2nd wave.",situation_update,personal_opinion,personal_opinion
2020-02-02T06:47:58Z,FALSE,4511,1400,5911,Indian Govt. Vs Pakistan Govt. when it comes to rescuing their citizens abroad. CC (Chaman C******) @ImranKhanPTI #Pakistanistudents #Coronavirus,situation_update,,situation_update
2020-02-04T00:18:15Z,TRUE,3467,2442,5909,"#LATEST on the #coronavirus outbreak in #China, as of Feb 3: - 20,438 confirmed cases on Chinese mainland, another 15 in HK, 8 in Macao, and 10 in Taiwan - 425 deaths - 632 discharged from hospital",situation_update,,situation_update
2020-02-06T15:56:39Z,FALSE,3476,2335,5811,"Sad news: Li Wenliang, the Wuhan doctor who first sounded alarm about #coronavirus, has died. Instead of listening to him, Chinese Communist authorities arrested him and forced him to write a self-criticism, a Maoist era method of punishing dissenting voices.",situation_update,individual_story,individual_story
2020-01-31T10:28:23Z,TRUE,4604,1198,5802,"#CORONAVIRUS #IndianArmy responding to the emergency has created a facility near #Manesar for quarantine of approximately 300 #Indian students arriving from #Wuhan #China, students will be monitored by a qualified team of doctors, to watch for any signs of infection. #NationFirst",situation_update,,situation_update
2020-01-31T13:55:07Z,TRUE,4548,1178,5726,#WATCH Air India special flight from Delhi lands in Wuhan (China) for the evacuation of Indians. #coronavirus,situation_update,,situation_update
2020-01-31T21:20:00Z,TRUE,4375,1260,5635,"20 patients were discharged from the hospital in Wuhan on Friday, recovering from the novel #coronavirus.",public_reaction,situation_update,situation_update
2020-02-12T13:54:04Z,TRUE,3938,1667,5605,"As the governments handle the #Coronavirus outbreak situation, we can choose to respond to these sensitive times in a nasty way or a graceful way. Whether it is isolation or any other precaution, we can conduct it with compassion.",public_reaction,personal_opinion,personal_opinion
2020-02-02T03:38:04Z,FALSE,2385,3115,5500,"Coronavirus concerns may cause your Grab taxi to be late these days, you have been warned #coronavirus #grab",situation_update,,situation_update
2020-01-29T14:00:40Z,TRUE,4342,1136,5478,"I spoke today with Politburo Director Yang Jiechi about the evacuation from Wuhan. As always, our number one priority is protecting American citizens in times of crisis. We are sparing no effort to protect our people and help #China contain the #coronavirus outbreak.",situation_update,,situation_update
2020-02-12T19:41:47Z,FALSE,2316,3041,5357,"Another woman caught on cam spitting on elevators buttons in China. Is this the result of ""One China"" they've been trying to force on HKers and Taiwanese? If I'm sick, you should get sick too! #coronavirus #COVID19",situation_update,individual_story,individual_story
2020-02-12T23:54:21Z,TRUE,3071,2217,5288,"BREAKING: China reports 14,840 new coronavirus cases after method revised -Hubei province: 3,441 patients have been discharged, death toll at 1,310 This is a massive jump in cases, more details to come on new methodology @quicktake #coronavirus #COVID19",situation_update,,situation_update
2020-02-04T14:05:42Z,TRUE,3714,1517,5231,"A Chinese nurse in a coronavirus-hit hospital in Henan Province gives her sobbing daughter an ""air hug."" #coronavirus",individual_story,,individual_story
2020-02-02T01:13:07Z,TRUE,3698,1516,5214,"Up to 14,000 two days later. #coronavirus",situation_update,,situation_update
2020-02-10T20:00:11Z,FALSE,4348,801,5149,"With all the fear spreading about #coronavirus lately, I hope we wont let this crisis divide us even further as a human family. Ive read some pretty racist comments and it makes me so upset. The West and East have to stand together now. Were all in this together.",,,
2020-01-25T14:52:09Z,FALSE,2147,2986,5133,in Philippines while in Malaysia #coronavirus,,,
2020-01-31T18:00:00Z,TRUE,3914,1199,5113,"Heartbreaking! A 9-year-old girl brings dumplings to her nurse mother, who has been fighting frontline against the #coronavirus, during the Lunar New Year, a time when families are supposed to be together. #RealHero",,,
2020-02-10T09:58:58Z,TRUE,3298,1770,5068,"Chinese pop singer #ZhangYixing has invited fans to work together with him on a new song dedicated to frontline workers fighting against novel #coronavirus. Lots of fans have since uploaded their own work, and Zhang Yixing has praised their creativity. @yixingartista @XbackINA",,,
2020-02-10T02:38:01Z,FALSE,3703,1343,5046,"This is Dr Sabista khan .I request all the Indians to come with me and speak up and take part in the protest today at 11 AM Mandi House, Delhi #FreeDrKafeel #LiWenliang #coronavirus",,,
2020-01-31T13:46:44Z,TRUE,3715,1315,5030,The Institute Pasteur in France becomes the first in the world to sequence a complete gene of the novel #coronavirus since the outbreak of the epidemic.,,,
2020-01-31T07:58:30Z,TRUE,3123,1903,5026,This has been circulating in the group chats I am part of. Please be informed that this is not true. The 2019 nCov Acute Respiratory Disease is viral and no cure has been established yet except for early detection and prevention and symptomatic treatment. #coronavirus,,,
2020-01-25T15:58:42Z,FALSE,2131,2888,5019,"'TERRIFYING VIDEO' of medical staff fainting from #CoronaOutbreak. And also, supermarkets shown completely empty, as panic ensues over the spread of the deadly #CoronaVirus in #Wuhan: #CoronavirusOutbreak | #WuhanVirus",,,
2020-01-27T01:31:59Z,FALSE,2716,2261,4977,#coronavirus is stolen from Canada byespionage sent to Wuhan to be weaponized to kill foreign enemies. Now the deadly weaponized virus kills 80 Chinese no foreigners becomes Emperor Shithole's Chernobyl!,,,misinformation
2020-01-25T16:02:12Z,FALSE,2695,2245,4940,"In her full protection gear, Dr. Jinnhui announced a grave warning to her friends and families ""I am currently at the infected Hankou District in #Wuhan. So far, more than 90,000 people have been infected by #Coronavirus."" Please Retweet #CoronaOutbreak #coronoavirus",,,
2020-02-04T05:43:52Z,TRUE,3010,1877,4887,"Can't help farting? Well, better try harder, because infrared temperature sensors recently installed in airports and train stations to monitor temperatures of passengers amid #coronavirus outbreak can screen them all",,,humor
2020-01-27T00:56:28Z,TRUE,3873,997,4870,GOOD NEWS: Texas AM student doesnt have coronavirus. But Texas will remain vigilant. Tomorrow I meet with state health officials to ensure every community has the resources preventative measures needed to respond to the dangerous #coronavirus.,,,
2020-02-06T05:44:31Z,FALSE,2259,2548,4807,"Caught on cam! A man, likely infected with the #coronavirus, spits on some packaged drinks at a grocery store in an attempt to infect as many as possible Their motto? If I die, you die with me",,,
2020-02-08T22:14:10Z,FALSE,3017,1787,4804,"From the same time, using the same scale - notice that the emissions are heightened across the board. Only other city that comes near to it is Chongquing, which is also afflicted by the #coronavirus.",,,
2020-02-08T01:59:04Z,FALSE,2622,2138,4760,"The sprinkle battalion is back on the streets of Wuhan, China. Night after night and more trucks than ever before. #coronavirus",,,
2020-02-02T04:14:38Z,TRUE,2750,2004,4754,"Caijing is one of the most reputable outlets in China. Their article on the #coronavirus was censored today. It claims significant underreporting of both cases deaths, especially among the elderly. Here it is: Translation:",,,
2020-02-02T19:40:00Z,TRUE,3711,1034,4745,#Wuhan hospital workers sing to the #coronavirus patients to keep their spirit up,,,
2020-01-25T09:38:14Z,TRUE,1120,3612,4732,"No temperature check. As a growing part of China is in #coronavirus lockdown Thai authorities are not yet routinely scanning passengers from there. With five cases, Thailand has already had more than anywhere except China.",,,
2020-02-10T08:24:34Z,TRUE,4445,206,4651,"Tsinghua delivered a special university-wide briefing to outline new semester arrangements in light of #coronavirus control and prevention measures. 50,000 students, faculty and staff tuned in to the live broadcast.",,,
2020-02-08T19:35:22Z,TRUE,3250,1340,4590,Warned by police? For speaking out about a virus in society? China: U.K. Do not imagine we are so very different #coronavirus,,,personal_opinion
2020-01-31T09:28:40Z,TRUE,2368,2117,4485,Update on #Coronavirus: @CMO_England statement on two confirmed cases in England.,,,
2020-01-25T16:47:06Z,FALSE,1674,2798,4472,"hes spitting on the buttons to infect others. this is ridiculous, its like the virus is messing with their brains too #coronavirus",,,
2020-01-29T06:17:12Z,FALSE,3041,1338,4379,"Taiwanese granny doesn't hold back! On face masks exported to China: ""We don't have enough in Taiwan, agree saving it for our citizens. China's heart is so rotten, always pushing 'One China' on us, why would we help them?"" #coronavirus",,,
2020-01-27T18:51:32Z,FALSE,3005,1247,4252,"Wow. People in Wuhan are self-quarantined because of the #coronavirus outbreak. But, despite the adversity, the people have found a way to support one another show solidarity. Here is video of residents chanting ""Wuhan add oil"" (""Whuhan, jiayou"" ) out their windows.",,,
2020-01-29T13:54:18Z,FALSE,2468,1729,4197,BREAKING: UK requests EU help in flying back citizens from China #CoronaVirus outbreak. Comes just two days before UK is due to leave the bloc. #CoronaOutbreak,,,
2020-02-02T03:00:00Z,TRUE,3275,915,4190,Salute! Photos of frontline doctors and nurses taking off their masks during short breaks in their fight against the novel#coronavirus moved millions of netizens across China.,,,
2020-01-25T06:41:13Z,TRUE,2552,1636,4188,Just passed a screening point in Henan close to the border with Hubei and had my temperature checked. #coronavirus #China,,,
2020-01-31T17:45:41Z,FALSE,2380,1798,4178,BREAKING IN NYC: First suspected case of #CoronaVirus in #NYC at Elmhurst Hospital in #Queens. An Asian man has been quarantined at the hospital.,,,
2020-01-27T14:20:00Z,TRUE,2886,1281,4167,"Timelapse video showing the 4th day of constructing Huoshenshan Hospital, a new facility providing 700 to 1,000 beds for #coronavirus patients in #Wuhan. The hospital is expected to complete on Feb 2.",,,
2020-02-08T12:58:25Z,FALSE,2182,1982,4164,The Shanghai government just announced some terrible news The #Coronavirus IS airborne. It can be spread through the air EVEN if the infected person isn't present Previously many doctors advice was to maintain a 1-2m distance and not wear a mask. This advice is now useless! 1/n,,,
